aid,password
00M,00M
00R,00R
00V,00V
01G,01G
01J,01J
01M,01M
02A,02A
02C,02C
02G,02G
03D,03D
04M,04M
04Y,04Y
05C,05C
05F,05F
05U,05U
06A,06A
06C,06C
06D,06D
06M,06M
06N,06N
06U,06U
07C,07C
07F,07F
07G,07G
07K,07K
08A,08A
08D,08D
08K,08K
08M,08M
09A,09A
09J,09J
09K,09K
09M,09M
09W,09W
0A3,0A3
0A8,0A8
0A9,0A9
0AK,0AK
0B1,0B1
0B4,0B4
0B5,0B5
0B7,0B7
0B8,0B8
0C0,0C0
0C4,0C4
0D1,0D1
0D8,0D8
0**,0**
1**,1**
0F2,0F2
0F4,0F4
0F7,0F7
0F8,0F8
0F9,0F9
0G0,0G0
0G3,0G3
0G6,0G6
0G7,0G7
0H1,0H1
0I8,0I8
0J0,0J0
0J4,0J4
0J6,0J6
0K7,0K7
0L5,0L5
0L7,0L7
0L9,0L9
0M0,0M0
0M1,0M1
0M4,0M4
0M5,0M5
0M6,0M6
0M8,0M8
0O3,0O3
0O4,0O4
0O5,0O5
0Q5,0Q5
0Q6,0Q6
0R0,0R0
0R1,0R1
0R3,0R3
0R4,0R4
0R5,0R5
0R7,0R7
0S7,0S7
0S9,0S9
0V2,0V2
0V3,0V3
0V4,0V4
0V6,0V6
0V7,0V7
10C,10C
10D,10D
10G,10G
10N,10N
10U,10U
11A,11A
11D,11D
11IS,11IS
11J,11J
11R,11R
12C,12C
12D,12D
12J,12J
12K,12K
12Y,12Y
13C,13C
13K,13K
13N,13N
14J,14J
14M,14M
14Y,14Y
15F,15F
15J,15J
15M,15M
15Z,15Z
16A,16A
16G,16G
16J,16J
16S,16S
17G,17G
17J,17J
17K,17K
17M,17M
17N,17N
17Z,17Z
18A,18A
18I,18I
19A,19A
19M,19M
19N,19N
19P,19P
1A3,1A3
1A5,1A5
1A6,1A6
1A7,1A7
1A9,1A9
1B0,1B0
1B1,1B1
1B3,1B3
1B9,1B9
1C5,1C5
1D1,1D1
1D2,1D2
1D3,1D3
1D6,1D6
1D7,1D7
1D8,1D8
1F0,1F0
1F1,1F1
1F4,1F4
1F9,1F9
1G0,1G0
1G3,1G3
1G4,1G4
1G5,1G5
1G6,1G6
1H0,1H0
1H2,1H2
1H3,1H3
1H8,1H8
1I5,1I5
1I9,1I9
1J0,1J0
1K2,1K2
1K4,1K4
1K5,1K5
1K9,1K9
1L0,1L0
1L1,1L1
1L7,1L7
1L9,1L9
1M1,1M1
1M2,1M2
1M4,1M4
1M5,1M5
1M7,1M7
1MO,1MO
1N2,1N2
1N4,1N4
1N7,1N7
1N9,1N9
1ND3,1ND3
1O1,1O1
1O2,1O2
1O3,1O3
1O4,1O4
1O6,1O6
1R1,1R1
1R7,1R7
1R8,1R8
1S0,1S0
1S3,1S3
1S5,1S5
1S6,1S6
1U7,1U7
1V0,1V0
1V2,1V2
1V5,1V5
1V6,1V6
1V9,1V9
20A,20A
20M,20M
20N,20N
20U,20U
20V,20V
21D,21D
21F,21F
22B,22B
22I,22I
22M,22M
22N,22N
23J,23J
23M,23M
23N,23N
23R,23R
24A,24A
24J,24J
24N,24N
25J,25J
25M,25M
25R,25R
26A,26A
26N,26N
26R,26R
26U,26U
27A,27A
27D,27D
27J,27J
27K,27K
28J,28J
29D,29D
29G,29G
29S,29S
2A0,2A0
2A1,2A1
2A3,2A3
2A9,2A9
2AK,2AK
2B3,2B3
2B7,2B7
2B9,2B9
2D1,2D1
2D5,2D5
2F5,2F5
2F6,2F6
2F7,2F7
2F8,2F8
2G2,2G2
2G3,2G3
2G4,2G4
2G9,2G9
2H0,2H0
2H2,2H2
2I0,2I0
2I5,2I5
2IS,2IS
2J2,2J2
2J3,2J3
2J5,2J5
2J9,2J9
2K3,2K3
2K4,2K4
2K5,2K5
2M0,2M0
2M2,2M2
2M3,2M3
2M4,2M4
2M8,2M8
2O1,2O1
2O3,2O3
2O6,2O6
2O7,2O7
2O8,2O8
2P2,2P2
2Q3,2Q3
2R0,2R0
2R4,2R4
2R5,2R5
2R9,2R9
2S1,2S1
2S6,2S6
2S7,2S7
2S8,2S8
2T1,2T1
2V1,2V1
2V2,2V2
2V5,2V5
2V6,2V6
2W5,2W5
2W6,2W6
2Y3,2Y3
2Y4,2Y4
31F,31F
32M,32M
32S,32S
33J,33J
33M,33M
33N,33N
33S,33S
34A,34A
35A,35A
35D,35D
35S,35S
36K,36K
36S,36S
36U,36U
37T,37T
37W,37W
38A,38A
38S,38S
38U,38U
39N,39N
3A0,3A0
3A1,3A1
3A2,3A2
3A3,3A3
3AU,3AU
3B0,3B0
3B1,3B1
3B2,3B2
3B9,3B9
3BS,3BS
3CK,3CK
3CM,3CM
3CU,3CU
3D2,3D2
